City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Georgetown,MY,77.0,moderate rain,5.4112,100.3354,Cititel Penang
1,Bredasdorp,ZA,62.08,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
2,Port Alfred,ZA,67.6,broken clouds,-33.5906,26.891,The Halyards Hotel
4,East London,ZA,67.62,overcast clouds,-33.0153,27.9116,Tu Casa
10,Lahat,ID,71.2,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
11,Rikitea,PF,77.9,light rain,-23.1203,-134.9692,Pension Maro'i
13,Christchurch,NZ,69.01,overcast clouds,-43.5333,172.6333,YMCA Christchurch
16,Cayenne,GF,79.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
19,Juba,SS,74.68,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
25,Houma,US,68.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
26,Fortuna,US,60.01,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
30,Carnarvon,AU,66.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
31,El Sauzal,MX,60.01,broken clouds,31.9,-116.6833,La Rosas Hotel & Spa
32,Salinopolis,BR,77.27,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
36,Kruisfontein,ZA,66.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
37,Richards Bay,ZA,67.59,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
39,Waingapu,ID,75.4,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
43,Nishihara,JP,71.6,light rain,26.1842,127.7558,Minshuku Agaihama
44,Geraldton,AU,62.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
50,East Wenatchee Bench,US,69.8,scattered clouds,47.4257,-120.2812,Coast Wenatchee Center Hotel
51,Catamarca,AR,63.0,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
52,Tucumcari,US,71.6,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
54,Hambantota,LK,79.23,few clouds,6.1241,81.1185,Bungalow 63
58,Hinatuan,PH,77.22,broken clouds,8.3722,126.3342,Villa Juanita Hinatuan
59,Lhokseumawe,ID,78.55,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
61,Bima,ID,73.92,scattered clouds,-8.4667,118.7167,Lambitu Hotel
62,Dahuk,IQ,61.41,scattered clouds,36.8695,42.994,Parwar Hotel
65,Arawa,PG,77.58,moderate rain,-6.2132,155.5367,Coastline Guest House
66,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
67,Hermanus,ZA,61.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
73,Flinders,AU,61.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
82,Lunavada,IN,79.77,clear sky,23.1333,73.6167,Arunoday Hotel & Guest House
83,Carauari,BR,75.29,broken clouds,-4.8828,-66.8958,Hotel Fellip
90,Saint Anthony,US,64.4,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
91,Saint George,US,75.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
94,Codajas,BR,74.91,scattered clouds,-3.8367,-62.0569,Hotel Tamires
95,Inhambane,MZ,70.05,scattered clouds,-23.865,35.3833,Oceano
96,Niquelandia,BR,69.31,clear sky,-14.4739,-48.4597,Hotel Suinã
100,Glendive,US,64.99,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
102,Arraial Do Cabo,BR,71.6,few clouds,-22.9661,-42.0278,Pousada Porto Praia
105,Port Macquarie,AU,62.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
106,Mirabad,AF,72.19,clear sky,30.4362,61.8383,
108,Carutapera,BR,75.83,overcast clouds,-1.195,-46.02,Lidera
117,Port Elizabeth,ZA,64.4,clear sky,-33.918,25.5701,39 On Nile Guest House
119,Seoul,KR,60.8,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
122,Xai-Xai,MZ,67.35,overcast clouds,-25.0519,33.6442,Complexo da Familia
127,Caravelas,BR,73.27,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
130,Manakara,MG,70.72,light rain,-22.1333,48.0167,La Residence Manakara
133,Byron Bay,AU,61.0,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
136,Biak,ID,77.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
137,Pisco,PE,70.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
139,Tucuman,AR,66.2,overcast clouds,-26.8241,-65.2226,HOTEL MIAMI
140,Saint-Joseph,RE,77.0,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
141,Along,IN,64.38,broken clouds,28.1667,94.7667,Hotel West
144,Emerald,AU,64.4,overcast clouds,-23.5333,148.1667,The Irish Village
147,Chuy,UY,65.5,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
152,Portland,US,66.99,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
155,Shingu,JP,60.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
158,Daitari,IN,76.32,scattered clouds,21.1,85.75,
160,Corrales,US,72.0,clear sky,35.2378,-106.6067,Quality Inn
163,Maldonado,UY,69.8,clear sky,-34.6667,-54.9167,La Cimarrona
167,Miri,MY,75.2,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
172,Alta Floresta,BR,72.28,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
173,Merauke,ID,79.54,broken clouds,-8.4667,140.3333,
180,Kiama,AU,61.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
181,Mar Del Plata,AR,68.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
188,Sikonge,TZ,64.51,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
189,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
193,Paita,PE,73.18,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
196,Ampanihy,MG,68.45,scattered clouds,-24.7,44.75,Angora Hotel
198,Kumluca,TR,64.71,clear sky,36.3703,30.2869,TurkuazKöy
200,Sao Filipe,CV,73.02,broken clouds,14.8961,-24.4956,Tortuga B&B
202,Airai,TL,62.85,scattered clouds,-8.9266,125.4092,Juvinal Martin
205,Rosetta,EG,62.6,clear sky,31.4044,30.4164,Green Valley
206,Taltal,CL,63.0,few clouds,-25.4,-70.4833,Residencial Karime
208,San Quintin,MX,62.11,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
209,Jinotega,NI,77.0,scattered clouds,13.0917,-86.0018,Camping Piedra Grande
210,Monte Santo De Minas,BR,62.02,clear sky,-21.1897,-46.9803,Fazenda Poço Vermelho
211,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,Laguna,US,72.0,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
216,Cidreira,BR,69.85,clear sky,-30.1811,-50.2056,Hotel Castelo
218,Moranbah,AU,68.72,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
229,Port Lincoln,AU,61.18,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
230,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
232,Rio Grande,BR,68.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
242,Puli,TW,75.0,mist,23.9664,120.9695,小島好樂
243,Dunedin,NZ,64.99,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
245,Shenjiamen,CN,60.67,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
254,Gushikawa,JP,71.6,moderate rain,26.3544,127.8686,Kirari Guest House
259,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
263,Athens,GR,62.01,few clouds,37.9795,23.7162,Novotel Athenes
265,Dinghai,CN,68.0,mist,26.2847,119.7936,
266,Batemans Bay,AU,60.01,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
270,Liwale,TZ,66.7,few clouds,-9.7667,37.9333,Samoma Lodge
273,Guerrero Negro,MX,64.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
274,Vila Velha,BR,77.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
275,Mount Isa,AU,71.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
276,Lucapa,AO,66.67,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
277,Ambam,CM,70.2,moderate rain,2.3833,11.2833,Hôtel Madeleine
278,Hedaru,TZ,68.32,broken clouds,-4.5,37.9,Hedaru Palace Hotel
282,Sidney,AU,62.01,few clouds,-33.8679,151.2073,The Grace Sydney
283,Kieta,PG,77.63,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
285,Bull Savanna,JM,75.07,scattered clouds,17.8868,-77.5902,Big Red's
286,Bengkulu,ID,73.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
290,Narasannapeta,IN,79.72,overcast clouds,18.4167,84.05,G.lingaraju home
291,Talara,PE,70.65,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
