City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Georgetown,5.4112,100.3354,moderate rain,77.0,88,40,13.8,MY
1,Bredasdorp,-34.5322,20.0403,clear sky,62.08,92,1,1.88,ZA
2,Port Alfred,-33.5906,26.891,broken clouds,67.6,82,58,19.44,ZA
3,Kimbe,-5.5502,150.1429,overcast clouds,83.95,70,99,1.23,PG
4,East London,-33.0153,27.9116,overcast clouds,67.62,80,98,11.3,ZA
5,Salamiyah,35.0113,37.0532,clear sky,54.84,51,0,4.0,SY
6,Port Hawkesbury,45.6169,-61.3485,scattered clouds,39.2,70,40,20.71,CA
7,Vaini,-21.2,-175.2,light rain,84.2,84,75,6.91,TO
8,Ushuaia,-54.8,-68.3,broken clouds,42.8,87,75,11.5,AR
9,Port Hardy,50.6996,-127.4199,few clouds,53.6,76,20,5.75,CA
10,Lahat,-3.8,103.5333,overcast clouds,71.2,97,99,2.42,ID
11,Rikitea,-23.1203,-134.9692,light rain,77.9,75,85,15.3,PF
12,Sargatskoye,55.6101,73.4972,clear sky,31.26,66,2,7.52,RU
13,Christchurch,-43.5333,172.6333,overcast clouds,69.01,52,90,4.61,NZ
14,Mullingar,53.5333,-7.35,clear sky,43.0,56,0,9.22,IE
15,Faanui,-16.4833,-151.75,light rain,81.09,73,11,14.76,PF
16,Cayenne,4.9333,-52.3333,overcast clouds,79.0,94,90,6.91,GF
17,Hithadhoo,-0.6,73.0833,scattered clouds,82.58,74,42,8.12,MV
18,Hay River,60.8156,-115.7999,overcast clouds,23.0,74,100,11.5,CA
19,Juba,4.8517,31.5825,broken clouds,74.68,70,81,4.9,SS
20,Butaritari,3.0707,172.7902,broken clouds,82.72,74,58,10.4,KI
21,Korla,41.7597,86.1469,light rain,43.16,46,100,18.39,CN
22,Mataura,-46.1927,168.8643,overcast clouds,54.0,89,98,5.99,NZ
23,Punta Arenas,-53.15,-70.9167,light rain,46.4,93,75,4.61,CL
24,Hilo,19.7297,-155.09,overcast clouds,82.4,54,90,11.5,US
25,Houma,29.5958,-90.7195,clear sky,68.0,49,1,11.5,US
26,Fortuna,40.5982,-124.1573,scattered clouds,60.01,76,40,16.11,US
27,Albany,42.6001,-73.9662,broken clouds,42.01,37,82,13.56,US
28,Tuatapere,-46.1333,167.6833,light rain,54.0,89,99,5.99,NZ
29,Busselton,-33.65,115.3333,broken clouds,57.0,84,82,1.99,AU
30,Carnarvon,-24.8667,113.6333,scattered clouds,66.2,63,40,6.91,AU
31,El Sauzal,31.9,-116.6833,broken clouds,60.01,79,68,5.01,MX
32,Salinopolis,-0.6136,-47.3561,overcast clouds,77.27,86,100,7.38,BR
33,Khatanga,71.9667,102.5,light snow,28.08,96,99,12.53,RU
34,Saskylakh,71.9167,114.0833,overcast clouds,5.58,96,100,5.73,RU
35,Kodiak,57.79,-152.4072,moderate rain,42.8,87,90,12.66,US
36,Kruisfontein,-34.0033,24.7314,clear sky,66.0,83,4,4.0,ZA
37,Richards Bay,-28.783,32.0377,overcast clouds,67.59,88,90,7.4,ZA
38,Avarua,-21.2078,-159.775,light rain,82.4,78,40,24.16,CK
39,Waingapu,-9.6567,120.2641,scattered clouds,75.4,78,26,4.79,ID
40,Jamestown,42.097,-79.2353,light snow,34.0,93,90,13.8,US
41,Puerto Ayora,-0.7393,-90.3518,few clouds,82.4,74,20,19.57,EC
